reference,nom,hexa,rgb_r,rgb_g,rgb_b,cmyk_c,cmyk_m,cmyk_y,cmyk_k,hsv_h,hsv_s,hsv_v
RAL 1000,Beige Vert,#BEBD7F,190,189,127,0,1,33,25,0.16,0.33,0.75
RAL 1001,Beige,#C2B078,194,176,120,0,9,38,24,0.13,0.38,0.76
RAL 1002,Jaune Sable,#C6A664,198,166,100,0,16,49,22,0.11,0.49,0.78
RAL 1003,Jaune Sécurité,#E5BE01,229,190,1,0,17,100,10,0.14,1,0.9
RAL 1004,Jaune Or,#CDA434,205,164,52,0,20,75,20,0.12,0.75,0.8
RAL 1005,Jaune Miel,#A98307,169,131,7,0,22,96,34,0.13,0.96,0.66
RAL 1006,Jaune Maïs,#E4A010,228,160,16,0,30,93,11,0.11,0.93,0.89
RAL 1007,Jaune Narcisse,#DC9D00,220,157,0,0,29,100,14,0.12,1,0.86
RAL 1011,Beige Brun,#8A6642,138,102,66,0,26,52,46,0.08,0.52,0.54
RAL 1012,Jaune Citron,#C7B446,199,180,70,0,10,65,22,0.14,0.65,0.78
RAL 1013,Blanc Perle,#EAE6CA,234,230,202,0,2,14,8,0.15,0.14,0.92
RAL 1014,Ivoire,#E1CC4F,225,204,79,0,9,65,12,0.14,0.65,0.88
RAL 1015,Ivoire Clair,#E6D690,230,214,144,0,7,37,10,0.14,0.37,0.9
RAL 1016,Ivoire Clair,#EDFF21,237,255,33,7,0,87,0,0.18,0.87,1
RAL 1017,Jaune Safran,#F5D033,245,208,51,0,15,79,4,0.13,0.79,0.96
RAL 1018,Jaune Zinc,#F8F32B,248,243,43,0,2,83,3,0.16,0.83,0.97
RAL 1019,Beige Gris,#9E9764,158,151,100,0,4,37,38,0.15,0.37,0.62
RAL 1020,Jaune Olive,#999950,153,153,80,0,0,48,40,0.17,0.48,0.6
RAL 1021,Jaune Colza,#F3DA0B,243,218,11,0,10,95,5,0.15,0.95,0.95
RAL 1023,Jaune Signalisation,#FAD201,250,210,1,0,16,100,2,0.14,1,0.98
RAL 1024,Jaune Ocre,#AEA04B,174,160,75,0,8,57,32,0.14,0.57,0.68
RAL 1026,Jaune Fluorescent,#FFFF00,255,255,0,0,0,100,0,0.17,1,1
RAL 1027,Jaune Curry,#9D9101,157,145,1,0,8,99,38,0.15,0.99,0.62
RAL 1028,Jaune Melon,#F4A900,244,169,0,0,31,100,4,0.12,1,0.96
RAL 1032,Jaune Genet,#D6AE01,214,174,1,0,19,100,16,0.14,1,0.84
RAL 1033,Jaune Dahlia,#F3A505,243,165,5,0,32,98,5,0.11,0.98,0.95
RAL 1034,Jaune Pastel,#EFA94A,239,169,74,0,29,69,6,0.1,0.69,0.94
RAL 1035,Beige Nacré,#6A5D4D,106,93,77,0,12,27,58,0.09,0.27,0.42
RAL 1036,Or Nacré,#705335,112,83,53,0,26,53,56,0.08,0.53,0.44
RAL 1037,Jaune Soleil,#F39F18,243,159,24,0,35,90,5,0.1,0.9,0.95
RAL 2000,Orange Jaune,#ED760E,237,118,14,0,50,94,7,0.08,0.94,0.93
RAL 2001,Orange Rouge,#C93C20,201,60,32,0,70,84,21,0.03,0.84,0.79
RAL 2002,Orange Sang,#CB2821,203,40,33,0,80,84,20,0.01,0.84,0.8
RAL 2003,Orange Pastel,#FF7514,255,117,20,0,54,92,0,0.07,0.92,1
RAL 2004,Orangé Pur,#F44611,244,70,17,0,71,93,4,0.04,0.93,0.96
RAL 2005,Orange Fluorescent,#FF2301,255,35,1,0,86,100,0,0.02,1,1
RAL 2007,Orange Fluorescent Lumineux,#FFA420,255,164,32,0,36,87,0,0.1,0.87,1
RAL 2008,Orange Rouge Lumière,#F75E25,247,94,37,0,62,85,3,0.05,0.85,0.97
RAL 2009,Orange Signalisation,#F54021,245,64,33,0,74,87,4,0.02,0.87,0.96
RAL 2010,Orange Signalisation Sécurité,#D84B20,216,75,32,0,65,85,15,0.04,0.85,0.85
RAL 2011,Orange Profond,#EC7C26,236,124,38,0,47,84,7,0.07,0.84,0.93
RAL 2012,Orangé Saumon,#E55137,229,81,55,0,65,76,10,0.02,0.76,0.9
RAL 2013,Orangé Nacré,#C35831,195,88,49,0,55,75,24,0.04,0.75,0.76
RAL 3000,Rouge Feu,#AF2B1E,175,43,30,0,75,83,31,0.01,0.83,0.69
RAL 3001,Rouge Sécurité,#A52019,165,32,25,0,81,85,35,0.01,0.85,0.65
RAL 3002,Rouge Carmin,#A2231D,162,35,29,0,78,82,36,0.01,0.82,0.64
RAL 3003,Rouge Rubis,#9B111E,155,17,30,0,89,81,39,0.98,0.89,0.61
RAL 3004,Rouge Pourpre,#75151E,117,21,30,0,82,74,54,0.98,0.82,0.46
RAL 3005,Rouge Vin,#5E2129,94,33,41,0,65,56,63,0.98,0.65,0.37
RAL 3007,Rouge Noir,#412227,65,34,39,0,48,40,75,0.97,0.48,0.25
RAL 3009,Rouge Oxyde,#642424,100,36,36,0,64,64,61,0,0.64,0.39
RAL 3011,Rouge Marron,#781F19,120,31,25,0,74,79,53,0.01,0.79,0.47
RAL 3012,Rouge Beige,#C1876B,193,135,107,0,30,45,24,0.05,0.45,0.76
RAL 3013,Rouge Tomate,#A12312,161,35,18,0,78,89,37,0.02,0.89,0.63
RAL 3014,Rose Ancien,#D36E70,211,110,112,0,48,47,17,1,0.48,0.83
RAL 3015,Rose Clair,#EA899A,234,137,154,0,41,34,8,0.97,0.41,0.92
